KARİYER YOLU — F HAVUZU (1132 oyuncu) — tanınırlık sırasıyla (üst=en bilinen)
format: # | İsim | Milliyet | milliMaç | piyasaDeğeri(M€)
117 | Diego Forlán | Uruguay | 112 cap | 30M
118 | Raúl | Spain | 102 cap | 28M
119 | Simon Kjaer | Denmark | 132 cap | 13M
120 | Robin van Persie | Netherlands | 102 cap | 48M
121 | Kyle Walker | England | 96 cap | 50M
122 | Keylor Navas | Costa Rica | 126 cap | 20M
123 | Juan Cuadrado | Colombia | 116 cap | 32M
124 | Goran Pandev | North Macedonia | 122 cap | 18M
125 | Héctor Moreno | Mexico | 132 cap | 8M
126 | Gonzalo Higuaín | Argentina | 75 cap | 75M
127 | Patrick Vieira | France | 107 cap | 35M
128 | Ragnar Klavan | Estonia | 130 cap | 4M
129 | Franck Kessié | Cote d'Ivoire | 99 cap | 55M
130 | Jari Litmanen | Finland | 137 cap | 2M
131 | Robinho | Brazil | 100 cap | 37M
132 | Mesut Özil | Germany | 92 cap | 50M
133 | Ashley Cole | England | 107 cap | 27M
134 | Milan Škriniar | Slovakia | 87 cap | 65M
135 | Marcel Sabitzer | Austria | 97 cap | 42M
136 | Henrikh Mkhitaryan | Armenia | 95 cap | 37M
137 | Zinédine Zidane | France | 108 cap | 25M
138 | Rui Patrício | Portugal | 108 cap | 20M
139 | David Ospina | Colombia | 130 cap | 8M
140 | Luis Díaz | Colombia | 72 cap | 85M
141 | Marcus Rashford | England | 70 cap | 85M
142 | Mats Hummels | Germany | 78 cap | 60M
143 | Victor Osimhen | Nigeria | 52 cap | 120M
144 | Daley Blind | Netherlands | 108 cap | 25M
145 | Didier Drogba | Cote d'Ivoire | 95 cap | 40M
146 | Dominik Szoboszlai | Hungary | 63 cap | 100M
147 | Dirk Kuyt | Netherlands | 104 cap | 20M
148 | Ronaldo | Brazil | 99 cap | 45M
149 | Chicharito | Mexico | 109 cap | 25M
150 | Arjen Robben | Netherlands | 96 cap | 40M
151 | John Arne Riise | Norway | 110 cap | 15M
152 | André Ayew | Ghana | 113 cap | 18M
153 | Rafael van der Vaart | Netherlands | 109 cap | 26M
154 | Pierre-Emile Højbjerg | Denmark | 95 cap | 45M
155 | Lúcio | Brazil | 105 cap | 25M
156 | Roberto Firmino | Brazil | 55 cap | 90M
157 | Michael Ballack | Germany | 98 cap | 35M
158 | İlkay Gündoğan | Germany | 82 cap | 50M
159 | Gianluigi Donnarumma | Italy | 81 cap | 65M
160 | Franck Ribéry | France | 81 cap | 50M
161 | Jordan Ayew | Ghana | 117 cap | 10M
162 | Arda Turan | Türkiye | 100 cap | 35M
163 | Stephan Lichtsteiner | Switzerland | 108 cap | 17M
164 | Olof Mellberg | Sweden | 117 cap | 9M
165 | Rüştü Reçber | Türkiye | 120 cap | 10M
166 | Serge Gnabry | Germany | 59 cap | 90M
167 | Christian Pulisic | United States | 84 cap | 60M
168 | Vincent Aboubakar | Cameroon | 116 cap | 18M
169 | Antonio Rüdiger | Germany | 82 cap | 50M
170 | Yaya Touré | Cote d'Ivoire | 92 cap | 37M
171 | Kai Havertz | Germany | 57 cap | 90M
172 | Gianluca Zambrotta | Italy | 98 cap | 28M
173 | Grzegorz Krychowiak | Poland | 100 cap | 30M
174 | Marcel Desailly | France | 116 cap | 2M
175 | Jon Dahl Tomasson | Denmark | 111 cap | 15M
176 | Didier Zokora | Cote d'Ivoire | 107 cap | 16M
177 | Martin Skrtel | Slovakia | 104 cap | 18M
178 | Sami Hyypiä | Finland | 105 cap | 9M
179 | Rigobert Song | Cameroon | 117 cap | 8M
180 | Aaron Ramsey | Wales | 86 cap | 45M
181 | João Félix | Portugal | 52 cap | 100M
182 | Frank de Boer | Netherlands | 112 cap | 1M
183 | Islam Slimani | Algeria | 105 cap | 25M
184 | João Cancelo | Portugal | 66 cap | 70M
185 | Yossi Benayoun | Israel | 102 cap | 11M
186 | Juraj Kucka | Slovakia | 112 cap | 9M
187 | Gheorghe Hagi | Romania | 124 cap | 2M
188 | Timo Werner | Germany | 57 cap | 80M
189 | Emre Belözoğlu | Türkiye | 101 cap | 12M
190 | Per Mertesacker | Germany | 104 cap | 20M
191 | Michael Olise | France | 15 cap | 150M
192 | Roberto Ayala | Argentina | 114 cap | 9M
193 | Henrik Larsson | Sweden | 106 cap | 11M
194 | Julián Alvarez | Argentina | 51 cap | 100M
195 | Domagoj Vida | Croatia | 105 cap | 12M
196 | Marc-André ter Stegen | Germany | 44 cap | 90M
197 | Yann Sommer | Switzerland | 94 cap | 13M
198 | Clarence Seedorf | Netherlands | 87 cap | 18M
199 | Jakub Błaszczykowski | Poland | 109 cap | 18M
200 | Wojciech Szczesny | Poland | 84 cap | 40M
201 | Davinson Sánchez | Colombia | 77 cap | 60M
202 | Wilfred Ndidi | Nigeria | 77 cap | 60M
203 | Tomas Rosicky | Czech Republic | 105 cap | 18M
