KARİYER YOLU — F HAVUZU (1132 oyuncu) — tanınırlık sırasıyla (üst=en bilinen)
format: # | İsim | Milliyet | milliMaç | piyasaDeğeri(M€)
495 | Samuel Umtiti | France | 31 cap | 70M
496 | Ismaël Bennacer | Algeria | 56 cap | 40M
497 | Michal Kadlec | Czech Republic | 67 cap | 8M
498 | Martín Zubimendi | Spain | 25 cap | 80M
499 | Dean Saunders | Wales | 75 cap | 0M
500 | Tijjani Reijnders | Netherlands | 30 cap | 70M
501 | Jay-Jay Okocha | Nigeria | 69 cap | 13M
502 | Vedat Muriqi | Kosovo | 68 cap | 17M
503 | Thomas Lemar | France | 27 cap | 70M
504 | Stéphane Mbia | Cameroon | 69 cap | 15M
505 | Pablo Zabaleta | Argentina | 58 cap | 19M
506 | Nacer Chadli | Belgium | 66 cap | 15M
507 | Oliver Neuville | Germany | 69 cap | 4M
508 | Hernán Crespo | Argentina | 64 cap | 16M
509 | Robin Olsen | Sweden | 79 cap | 10M
510 | Carlos Bacca | Colombia | 52 cap | 25M
511 | Jean Makoun | Cameroon | 68 cap | 16M
512 | Gary Lineker | England | 80 cap | 0M
513 | Éric Abidal | France | 66 cap | 20M
514 | João Palhinha | Portugal | 37 cap | 60M
515 | Vladimir Weiss | Slovakia | 77 cap | 4M
516 | Mathieu Valbuena | France | 52 cap | 15M
517 | Kaan Ayhan | Türkiye | 72 cap | 9M
518 | Hélder Postiga | Portugal | 70 cap | 11M
519 | Jaap Stam | Netherlands | 67 cap | 10M
520 | Nihat Kahveci | Türkiye | 69 cap | 15M
521 | Nélson Semedo | Portugal | 48 cap | 40M
522 | Andriy Voronin | Ukraine | 74 cap | 8M
523 | Lucas Moura | Brazil | 37 cap | 40M
524 | Nabil Fekir | France | 25 cap | 70M
525 | Mikel Merino | Spain | 41 cap | 50M
526 | Piero Hincapié | Ecuador | 51 cap | 50M
527 | Douglas Costa | Brazil | 31 cap | 55M
528 | André Schürrle | Germany | 57 cap | 30M
529 | Roman Yaremchuk | Ukraine | 67 cap | 18M
530 | Joshua King | Norway | 62 cap | 20M
531 | Wout Weghorst | Netherlands | 51 cap | 30M
532 | Nordin Amrabat | Morocco | 64 cap | 6M
533 | Michel Platini | France | 72 cap | 0M
534 | Florian Grillitsch | Austria | 59 cap | 25M
535 | Luca Toni | Italy | 47 cap | 29M
536 | Ezequiel Lavezzi | Argentina | 51 cap | 30M
537 | Frank Rijkaard | Netherlands | 73 cap | 0M
538 | Konstantinos Mitroglou | Greece | 65 cap | 12M
539 | Felipe Caicedo | Ecuador | 66 cap | 10M
540 | Marouane Chamakh | Morocco | 65 cap | 17M
541 | Pepe Reina | Spain | 36 cap | 22M
542 | Willian Pacho | Ecuador | 34 cap | 70M
543 | Vladimir Beschastnykh | Russia | 71 cap | 2M
544 | Christopher Nkunku | France | 18 cap | 80M
545 | Kieran Tierney | Scotland | 55 cap | 32M
546 | Edouard Mendy | Senegal | 56 cap | 32M
547 | Filipe Luís | Brazil | 44 cap | 25M
548 | Merih Demiral | Türkiye | 61 cap | 30M
549 | Gabriel Tamaș | Romania | 67 cap | 4M
550 | Gelson Fernandes | Switzerland | 67 cap | 7M
551 | Fernando Gago | Argentina | 61 cap | 22M
552 | Karl Toko Ekambi | Cameroon | 60 cap | 18M
553 | Albin Ekdal | Sweden | 70 cap | 5M
554 | Cenk Tosun | Türkiye | 53 cap | 23M
555 | Cengiz Ünder | Türkiye | 51 cap | 35M
556 | Diego | Brazil | 34 cap | 29M
557 | Brian Laudrup | Denmark | 80 cap | 0M
558 | Luís Fabiano | Brazil | 45 cap | 28M
559 | Carlos Kameni | Cameroon | 71 cap | 10M
560 | Iván Zamorano | Chile | 71 cap | 0M
561 | Loïs Openda | Belgium | 33 cap | 60M
562 | Samuel Chukwueze | Nigeria | 58 cap | 30M
563 | Dimitri Payet | France | 38 cap | 30M
564 | Diego Costa | Spain | 24 cap | 60M
565 | Pervis Estupiñán | Ecuador | 52 cap | 35M
566 | Ashley Young | England | 39 cap | 27M
567 | Roland Sallai | Hungary | 66 cap | 16M
568 | Fred | Brazil | 32 cap | 50M
569 | Emmanuel Eboué | Cote d'Ivoire | 71 cap | 8M
570 | Nico González | Argentina | 50 cap | 40M
571 | Jermaine Jones | United States | 69 cap | 8M
572 | Luis Muriel | Colombia | 45 cap | 30M
573 | Rasmus Højlund | Denmark | 33 cap | 65M
574 | Younès Belhanda | Morocco | 59 cap | 14M
575 | Marc Wilmots | Belgium | 70 cap | 0M
576 | Chris Waddle | England | 62 cap | 0M
577 | Laurent Koscielny | France | 51 cap | 22M
578 | Joachim Andersen | Denmark | 49 cap | 35M
579 | Oliver Bierhoff | Germany | 70 cap | 0M
580 | Asmir Begovic | Bosnia-Herzegovina | 63 cap | 13M
581 | Ozan Tufan | Türkiye | 65 cap | 11M
582 | Ciprian Marica | Romania | 72 cap | 7M
583 | Fernando Morientes | Spain | 47 cap | 24M
584 | Mike Maignan | France | 38 cap | 45M
585 | Zeki Çelik | Türkiye | 59 cap | 20M
586 | Dietmar Hamann | Germany | 59 cap | 9M
587 | Roy Makaay | Netherlands | 43 cap | 25M
588 | Leon Bailey | Jamaica | 41 cap | 45M
589 | Christian Panucci | Italy | 57 cap | 7M
590 | Christian Ziege | Germany | 72 cap | 2M
591 | Matt Doherty | Ireland | 53 cap | 20M
592 | Sébastien Haller | Cote d'Ivoire | 34 cap | 45M
593 | Tomas Sivok | Czech Republic | 64 cap | 8M
594 | Juan Pablo Sorín | Argentina | 75 cap | 6M
595 | Cristian Zapata | Colombia | 58 cap | 13M
596 | Manuel Ugarte | Uruguay | 35 cap | 60M
597 | Ethan Ampadu | Wales | 61 cap | 25M
598 | Ruud Gullit | Netherlands | 66 cap | 0M
599 | Ronald de Boer | Netherlands | 67 cap | 1M
600 | Maarten Stekelenburg | Netherlands | 63 cap | 11M
601 | Thomas Helmer | Germany | 68 cap | 0M
602 | Mahamadou Diarra | Mali | 51 cap | 28M
603 | Mauro Camoranesi | Italy | 55 cap | 18M
604 | Harry Kewell | Australia | 53 cap | 20M
605 | Vasilios Tsiartas | Greece | 70 cap | 3M
606 | Andreas Köpke | Germany | 59 cap | 0M
607 | Yerry Mina | Colombia | 52 cap | 30M
608 | Yohan Cabaye | France | 48 cap | 23M
609 | Gabriel | Brazil | 17 cap | 75M
610 | Fredy Guarín | Colombia | 58 cap | 18M
611 | Kasper Dolberg | Denmark | 56 cap | 23M
612 | Ante Rebić | Croatia | 42 cap | 40M
613 | Gianluca Vialli | Italy | 59 cap | 0M
614 | Kevin Keegan | England | 63 cap | 0M
615 | Krzysztof Piatek | Poland | 39 cap | 40M
616 | Eren Derdiyok | Switzerland | 60 cap | 10M
617 | Kevin Strootman | Netherlands | 46 cap | 28M
618 | Alex Song | Cameroon | 49 cap | 29M
619 | Cosmin Contra | Romania | 73 cap | 2M
620 | Miroslav Stoch | Slovakia | 60 cap | 12M
621 | Tobias Linderoth | Sweden | 75 cap | 5M
622 | Kelechi Iheanacho | Nigeria | 58 cap | 20M
623 | Zdenek Grygera | Czech Republic | 65 cap | 9M
624 | Willy Sagnol | France | 58 cap | 15M
625 | Matheus Cunha | Brazil | 21 cap | 70M
626 | Arthur Melo | Brazil | 22 cap | 70M
627 | Elano | Brazil | 50 cap | 15M
628 | Giacomo Raspadori | Italy | 46 cap | 35M
629 | Júlio Baptista | Brazil | 47 cap | 25M
630 | Paulo Wanchope | Costa Rica | 73 cap | 5M
631 | Martín Demichelis | Argentina | 51 cap | 16M
632 | Steven Pienaar | South Africa | 60 cap | 11M
633 | Haim Revivo | Israel | 67 cap | 0M
634 | Djibril Sow | Switzerland | 50 cap | 22M
635 | Nabil Bentaleb | Algeria | 57 cap | 20M
636 | Douglas Luiz | Brazil | 18 cap | 70M
637 | Luiz Gustavo | Brazil | 41 cap | 22M
638 | Nuri Şahin | Türkiye | 52 cap | 20M
639 | Míchel Salgado | Spain | 53 cap | 10M
640 | Sebastian Szymanski | Poland | 52 cap | 20M
641 | Viorel Moldovan | Romania | 70 cap | 1M
642 | Antony | Brazil | 16 cap | 75M
643 | Tammy Abraham | England | 26 cap | 50M
644 | Daniel Wass | Denmark | 44 cap | 15M
645 | Garry Rodrigues | Cape Verde | 60 cap | 9M
646 | Ibrahima Konaté | France | 27 cap | 60M
647 | Emmanuel Petit | France | 63 cap | 0M
648 | Teemu Tainio | Finland | 63 cap | 4M
649 | Pablo Sarabia | Spain | 27 cap | 40M
650 | Shota Arveladze | Georgia | 61 cap | 6M
651 | Alex Oxlade-Chamberlain | England | 35 cap | 40M
652 | Davor Suker | Croatia | 69 cap | 0M
653 | Gonçalo Guedes | Portugal | 33 cap | 40M
654 | Kepa Arrizabalaga | Spain | 22 cap | 60M
655 | Klaus Allofs | Germany | 56 cap | 0M
656 | Yves Bissouma | Mali | 46 cap | 35M
657 | Sime Vrsaljko | Croatia | 52 cap | 25M
658 | Matteo Darmian | Italy | 46 cap | 15M
659 | Óscar Córdoba | Colombia | 67 cap | 3M
660 | Álvaro Arbeloa | Spain | 56 cap | 12M
661 | Thomas Gravesen | Denmark | 66 cap | 6M
662 | Hugo Ekitiké | France | 8 cap | 90M
663 | Steve Mandanda | France | 35 cap | 17M
664 | David Pizarro | Chile | 46 cap | 15M
665 | Christian Vieri | Italy | 49 cap | 18M
666 | Samir Nasri | France | 41 cap | 26M
667 | Rayan Cherki | France | 23 cap | 65M
668 | Javier Saviola | Argentina | 40 cap | 20M
669 | Clément Lenglet | France | 16 cap | 60M
670 | Djibril Cissé | France | 41 cap | 20M
671 | John Aldridge | Ireland | 69 cap | 0M
672 | Iliman Ndiaye | Senegal | 38 cap | 50M
673 | Pierre Webó | Cameroon | 58 cap | 5M
674 | Sergi Roberto | Spain | 14 cap | 60M
675 | Alexandru Maxim | Romania | 56 cap | 7M
676 | Taye Taiwo | Nigeria | 53 cap | 11M
677 | Davy Klaassen | Netherlands | 41 cap | 22M
678 | Marc Cucurella | Spain | 23 cap | 55M
679 | Wissam Ben Yedder | France | 19 cap | 50M
680 | John Mensah | Ghana | 68 cap | 8M
681 | Boudewijn Zenden | Netherlands | 54 cap | 6M
682 | Mario Balotelli | Italy | 36 cap | 32M
683 | Corentin Tolisso | France | 28 cap | 45M
684 | Allan | Brazil | 10 cap | 60M
685 | Maniche | Portugal | 52 cap | 18M
686 | Fernando Meira | Portugal | 53 cap | 13M
687 | Erick Pulgar | Chile | 54 cap | 15M
688 | Kily González | Argentina | 56 cap | 9M
689 | Rubén Vargas | Switzerland | 60 cap | 13M
690 | Mostafa Mohamed | Egypt | 61 cap | 10M
691 | Pape Gueye | Senegal | 40 cap | 40M
692 | Dani Parejo | Spain | 19 cap | 35M
693 | Ola Aina | Nigeria | 48 cap | 22M
694 | Evan Ferguson | Ireland | 26 cap | 65M
695 | Emil Kostadinov | Bulgaria | 70 cap | 0M
696 | Kang-in Lee | Korea, South | 46 cap | 30M
697 | Dani Ceballos | Spain | 29 cap | 45M
698 | Adem Ljajic | Serbia | 47 cap | 15M
699 | Dino Baggio | Italy | 60 cap | 1M
700 | Jakub Kiwior | Poland | 43 cap | 35M
701 | Moise Kean | Italy | 26 cap | 50M
702 | Antonio Cassano | Italy | 39 cap | 25M
703 | Takehiro Tomiyasu | Japan | 43 cap | 35M
704 | Pedro Neto | Portugal | 23 cap | 60M
705 | Nicolas Jackson | Senegal | 31 cap | 55M
706 | Milos Krasic | Serbia | 46 cap | 20M
707 | Kubilay Türkyilmaz | Switzerland | 62 cap | 0M
708 | Diogo Dalot | Portugal | 33 cap | 40M
709 | Pape Matar Sarr | Senegal | 38 cap | 45M
710 | Nikola Kalinić | Croatia | 42 cap | 20M
711 | Mame Diouf | Senegal | 48 cap | 11M
712 | Moussa Dembélé | France | 23 cap | 50M
713 | Giorgi Mamardashvili | Georgia | 37 cap | 45M
714 | Predrag Mijatović | Montenegro | 65 cap | 0M
715 | Serhou Guirassy | Guinea | 27 cap | 45M
716 | Luuk de Jong | Netherlands | 39 cap | 13M
717 | Fatih Akyel | Türkiye | 64 cap | 3M
718 | Okan Buruk | Türkiye | 56 cap | 5M
719 | Benedikt Höwedes | Germany | 44 cap | 18M
720 | Emile Mpenza | Belgium | 57 cap | 6M
721 | Attila Szalai | Hungary | 53 cap | 15M
722 | Ibrahim Afellay | Netherlands | 53 cap | 14M
723 | Moussa Sow | Senegal | 46 cap | 16M
724 | Conor Gallagher | England | 22 cap | 50M
725 | Artem Dovbyk | Ukraine | 40 cap | 35M
726 | Alou Diarra | France | 44 cap | 15M
727 | Umut Bulut | Türkiye | 39 cap | 6M
728 | David Platt | England | 62 cap | 0M
729 | Markus Babbel | Germany | 51 cap | 6M
730 | Reinildo Mandava | Mozambique | 48 cap | 25M
731 | Saïd Benrahma | Algeria | 40 cap | 25M
732 | Jérémy Toulalan | France | 36 cap | 22M
733 | Ronny Johnsen | Norway | 62 cap | 0M
734 | Keita Baldé | Senegal | 39 cap | 30M
735 | Steven Fletcher | Scotland | 32 cap | 15M
736 | Juninho Paulista | Brazil | 52 cap | 6M
737 | Ansu Fati | Spain | 10 cap | 80M
738 | Christophe Dugarry | France | 55 cap | 3M
739 | Yunus Musah | United States | 47 cap | 25M
740 | Przemyslaw Frankowski | Poland | 51 cap | 9M
741 | Micky van de Ven | Netherlands | 19 cap | 65M
742 | Jean-Pierre Papin | France | 54 cap | 0M
743 | Costinha | Portugal | 53 cap | 15M
744 | Paul Gascoigne | England | 57 cap | 0M
745 | Faryd Mondragón | Colombia | 50 cap | 4M
746 | Paco Alcácer | Spain | 19 cap | 50M
747 | Ross Barkley | England | 33 cap | 30M
748 | Hakan Balta | Türkiye | 50 cap | 7M
749 | Nathan Redmond | England | 39 cap | 20M
750 | Timothy Weah | United States | 49 cap | 20M
751 | Mladen Petric | Croatia | 45 cap | 11M
752 | José Antonio Reyes | Spain | 21 cap | 35M
753 | Houssem Aouar | Algeria | 19 cap | 55M
754 | Pierre van Hooijdonk | Netherlands | 46 cap | 3M
755 | Leander Dendoncker | Belgium | 32 cap | 32M
756 | Aymen Abdennour | Tunisia | 56 cap | 10M
757 | Duje Caleta-Car | Croatia | 38 cap | 25M
758 | Andreas Thom | Germany | 51 cap | 0M
759 | Carlos Soler | Spain | 20 cap | 50M
760 | Mamadou Niang | Senegal | 45 cap | 15M
761 | Nicolò Zaniolo | Italy | 19 cap | 55M
762 | Christian Nørgaard | Denmark | 41 cap | 20M
763 | Alexandre Pato | Brazil | 27 cap | 35M
764 | Victor Moses | Nigeria | 38 cap | 20M
765 | Giovanni Reyna | United States | 36 cap | 42M
766 | Mattéo Guendouzi | France | 20 cap | 50M
767 | Anthony Annan | Ghana | 58 cap | 3M
768 | Lucas Ocampos | Argentina | 12 cap | 50M
769 | Robin Le Normand | Spain | 27 cap | 40M
770 | Hami Mandıralı | Türkiye | 49 cap | 0M
771 | Georges Mikautadze | Georgia | 43 cap | 30M
772 | Seko Fofana | Cote d'Ivoire | 31 cap | 32M
773 | Fernando Llorente | Spain | 24 cap | 30M
774 | Munas Dabbur | Israel | 40 cap | 15M
775 | Fabricio Coloccini | Argentina | 39 cap | 10M
776 | Zdravko Kuzmanovic | Serbia | 50 cap | 10M
777 | Tanguy Ndombélé | France | 10 cap | 65M
778 | Stephen Appiah | Ghana | 53 cap | 11M
779 | Milos Kerkez | Hungary | 31 cap | 45M
780 | Moussa Diaby | France | 12 cap | 60M
781 | Hasan Salihamidzic | Bosnia-Herzegovina | 42 cap | 8M
782 | João Pereira | Portugal | 40 cap | 11M
783 | Brahim Díaz | Morocco | 24 cap | 45M
784 | Fabio Grosso | Italy | 48 cap | 10M
785 | Frank Leboeuf | France | 50 cap | 0M
786 | Iván Helguera | Spain | 47 cap | 11M
787 | Nico Paz | Argentina | 8 cap | 80M
788 | Edon Zhegrova | Kosovo | 46 cap | 25M
789 | Florian Thauvin | France | 13 cap | 50M
790 | Mario Lemina | Gabon | 43 cap | 15M
791 | Valeri Bozhinov | Bulgaria | 43 cap | 13M
792 | Adrián Ramos | Colombia | 37 cap | 13M
793 | Christian Karembeu | France | 53 cap | 1M
794 | Aurélien Chedjou | Cameroon | 48 cap | 12M
795 | Ben Chilwell | England | 21 cap | 50M
796 | Reto Ziegler | Switzerland | 35 cap | 8M
797 | Diego Milito | Argentina | 25 cap | 28M
798 | Obafemi Martins | Nigeria | 40 cap | 16M
799 | Yıldıray Baştürk | Türkiye | 49 cap | 11M
800 | Alberto Aquilani | Italy | 38 cap | 18M
801 | Elvir Bolic | Bosnia-Herzegovina | 51 cap | 2M
802 | Castello Lukeba | France | 27 cap | 50M
803 | Owen Hargreaves | England | 42 cap | 25M
804 | Álvaro Negredo | Spain | 21 cap | 27M
805 | Oğuzhan Özyakup | Türkiye | 43 cap | 14M
806 | Darko Kovacevic | Serbia | 45 cap | 10M
807 | Hiroshi Kiyotake | Japan | 43 cap | 10M
808 | Bernard Lama | France | 44 cap | 0M
809 | Bernd Leno | Germany | 14 cap | 35M
810 | Billy Gilmour | Scotland | 46 cap | 20M
811 | Steven Nzonzi | France | 20 cap | 30M
812 | Chris Smalling | England | 31 cap | 20M
813 | Robin Gosens | Germany | 24 cap | 35M
814 | Gerald Vanenburg | Netherlands | 42 cap | 0M
815 | Trevoh Chalobah | England | 25 cap | 40M
816 | Gerard Deulofeu | Spain | 36 cap | 25M
817 | Faouzi Ghoulam | Algeria | 37 cap | 25M
818 | Dimitrios Pelkas | Greece | 47 cap | 7M
819 | Fikayo Tomori | England | 15 cap | 50M
820 | Dean Huijsen | Spain | 11 cap | 70M
821 | Lucas Barrios | Paraguay | 36 cap | 17M
822 | Javier Pastore | Argentina | 29 cap | 30M
823 | Enzo Francescoli | Uruguay | 58 cap | 0M
824 | Alejandro Grimaldo | Spain | 12 cap | 45M
825 | Anders Limpar | Sweden | 58 cap | 0M
826 | Halil Altıntop | Türkiye | 38 cap | 8M
827 | Renan Lodi | Brazil | 19 cap | 50M
828 | Mikaël Silvestre | France | 40 cap | 8M
829 | Joshua Zirkzee | Netherlands | 19 cap | 50M
830 | André Gomes | Portugal | 29 cap | 30M
831 | Renato Sanches | Portugal | 32 cap | 30M
832 | Odilon Kossounou | Cote d'Ivoire | 35 cap | 35M
833 | Gregory van der Wiel | Netherlands | 46 cap | 10M
834 | Gianfranco Zola | Italy | 35 cap | 1M
835 | Grégory Coupet | France | 34 cap | 8M
836 | Valentino Lazaro | Austria | 36 cap | 19M
837 | Sunday Oliseh | Nigeria | 52 cap | 2M
838 | Pep Guardiola | Spain | 47 cap | 2M
839 | Odion Ighalo | Nigeria | 37 cap | 12M
840 | Martin Laursen | Denmark | 54 cap | 8M
841 | Ferdi Kadıoğlu | Türkiye | 30 cap | 30M
842 | Adil Rami | France | 36 cap | 14M
843 | Ian Maatsen | Netherlands | 24 cap | 40M
844 | Giuseppe Rossi | Italy | 30 cap | 30M
845 | Paul Breitner | Germany | 48 cap | 0M
846 | Neven Subotic | Serbia | 36 cap | 20M
847 | Basile Boli | France | 45 cap | 0M
848 | Iago Aspas | Spain | 20 cap | 25M
849 | Erik Lamela | Argentina | 25 cap | 30M
850 | Seydou Doumbia | Cote d'Ivoire | 33 cap | 25M
851 | Papiss Demba Cissé | Senegal | 32 cap | 19M
852 | Nicolai Jørgensen | Denmark | 41 cap | 15M
853 | Evan Ndicka | Cote d'Ivoire | 27 cap | 35M
854 | Jason Denayer | Belgium | 35 cap | 25M
855 | Roberto Soldado | Spain | 12 cap | 30M
856 | Marek Cech | Slovakia | 52 cap | 7M
857 | Suso | Spain | 9 cap | 50M
858 | Jes Høgh | Denmark | 58 cap | 0M
859 | Yoann Gourcuff | France | 31 cap | 24M
860 | Lamine Diatta | Senegal | 56 cap | 2M
861 | Geoffrey Kondogbia | Central African Republic | 21 cap | 30M
862 | Matthias Sammer | Germany | 51 cap | 0M
863 | Alex Telles | Brazil | 12 cap | 40M
864 | Iulian Filipescu | Romania | 52 cap | 1M
865 | Thiago Motta | Italy | 30 cap | 16M
866 | Jeremie Frimpong | Netherlands | 15 cap | 50M
867 | Martin Dahlin | Sweden | 60 cap | 0M
868 | Jeremain Lens | Netherlands | 34 cap | 12M
869 | Konstantinos Mavropanos | Greece | 41 cap | 20M
870 | Patrick Cutrone | Italy | 25 cap | 30M
871 | Jonathan Ikoné | France | 18 cap | 40M
872 | Giorgi Kinkladze | Georgia | 54 cap | 4M
873 | Luis Alberto | Spain | 1 cap | 55M
874 | Massimo Oddo | Italy | 34 cap | 15M
875 | Raymond Kopa | France | 45 cap | 0M
876 | Steve McManaman | England | 37 cap | 7M
877 | Malcom | Brazil | 14 cap | 45M
878 | Pizzi | Portugal | 17 cap | 27M
879 | Omar Elabdellaoui | Norway | 49 cap | 6M
880 | Ricardo Pereira | Portugal | 18 cap | 40M
881 | Tayfur Havutçu | Türkiye | 45 cap | 1M
882 | Marco Materazzi | Italy | 41 cap | 9M
883 | Matija Nastasić | Serbia | 34 cap | 22M
884 | Arnaud Kalimuendo | France | 33 cap | 30M
885 | Joaquín Correa | Argentina | 19 cap | 38M
886 | Colin Kazım-Richards | Türkiye | 37 cap | 5M
887 | Azzedine Ounahi | Morocco | 47 cap | 15M
888 | Arthur Masuaku | DR Congo | 43 cap | 10M
889 | Endrick | Brazil | 15 cap | 60M
890 | Christoph Metzelder | Germany | 47 cap | 10M
891 | Marcos Alonso | Spain | 9 cap | 45M
892 | Rayan Aït-Nouri | Algeria | 27 cap | 40M
893 | Victor Nelsson | Denmark | 35 cap | 19M
894 | Souleymane Diawara | Senegal | 38 cap | 8M
895 | Mattia De Sciglio | Italy | 40 cap | 14M
896 | Malik Tillman | United States | 28 cap | 35M
897 | Amad Diallo | Cote d'Ivoire | 18 cap | 50M
898 | Francisco Trincão | Portugal | 18 cap | 40M
899 | Adrian Ilie | Romania | 55 cap | 2M
900 | Mido | Egypt | 47 cap | 11M
901 | Gaizka Mendieta | Spain | 40 cap | 7M
902 | Zanka | Denmark | 37 cap | 5M
903 | Saphir Taïder | Algeria | 46 cap | 10M
904 | Murat Yakin | Switzerland | 49 cap | 3M
905 | Felipe Anderson | Brazil | 4 cap | 45M
906 | Jordan Veretout | France | 12 cap | 35M
907 | Willian José | Brazil | 15 cap | 30M
908 | Arouna Koné | Cote d'Ivoire | 34 cap | 12M
909 | Mathys Tel | France | 20 cap | 50M
910 | Finidi George | Nigeria | 50 cap | 0M
911 | Wim Kieft | Netherlands | 43 cap | 0M
912 | Dimitar Rangelov | Bulgaria | 40 cap | 3M
913 | Eljero Elia | Netherlands | 30 cap | 17M
914 | Milos Veljkovic | Serbia | 39 cap | 12M
915 | Stjepan Tomas | Croatia | 49 cap | 5M
916 | Mario Gavranovic | Switzerland | 41 cap | 3M
917 | Allan Simonsen | Denmark | 48 cap | 0M
918 | Ümit Özat | Türkiye | 41 cap | 5M
919 | Patrik Berger | Czech Republic | 42 cap | 5M
920 | Mevlüt Erdinç | Türkiye | 35 cap | 11M
921 | Ferland Mendy | France | 10 cap | 50M
922 | Nico Gaitán | Argentina | 19 cap | 30M
923 | Chris Richards | United States | 36 cap | 25M
924 | Vincent Candela | France | 40 cap | 4M
925 | Salif Sané | Senegal | 34 cap | 22M
926 | Brian Brobbey | Netherlands | 23 cap | 35M
927 | Bruma | Portugal | 33 cap | 13M
928 | Hasan Ali Kaldırım | Türkiye | 35 cap | 6M
929 | Kévin Gameiro | France | 13 cap | 25M
930 | Mert Müldür | Türkiye | 43 cap | 10M
931 | Éric Cantona | France | 45 cap | 0M
932 | Divock Origi | Belgium | 32 cap | 20M
933 | Kevin Danso | Austria | 31 cap | 25M
934 | Roque Júnior | Brazil | 48 cap | 8M
935 | Zvonimir Boban | Croatia | 51 cap | 0M
936 | Justin Kluivert | Netherlands | 20 cap | 35M
937 | Kristjan Asllani | Albania | 40 cap | 18M
938 | Milan Rapaic | Croatia | 49 cap | 2M
939 | Alassane Pléa | France | 14 cap | 38M
940 | Álvaro Carreras | Spain | 9 cap | 60M
941 | Pierluigi Casiraghi | Italy | 44 cap | 0M
942 | Jocelyn Angloma | Guadeloupe | 37 cap | 0M
943 | Miha Zajc | Slovenia | 39 cap | 6M
944 | Ander Herrera | Spain | 14 cap | 30M
945 | Loïc Rémy | France | 30 cap | 19M
946 | Karl-Heinz Riedle | Germany | 42 cap | 0M
947 | Samuel Kuffour | Ghana | 39 cap | 9M
948 | Callum Hudson-Odoi | England | 22 cap | 35M
949 | Pedro Porro | Spain | 16 cap | 45M
950 | Luis Jiménez | Chile | 33 cap | 11M
951 | Wesley Fofana | France | 7 cap | 65M
952 | Guillermo Amor | Spain | 37 cap | 0M
953 | Gedson Fernandes | Portugal | 30 cap | 22M
954 | Markus Rosenberg | Sweden | 31 cap | 9M
955 | Héctor Bellerín | Spain | 14 cap | 40M
956 | Youssouf Fofana | France | 25 cap | 30M
957 | Wilfried Singo | Cote d'Ivoire | 32 cap | 28M
958 | Mehmet Aurélio | Türkiye | 37 cap | 10M
959 | Ismaël Koné | Canada | 38 cap | 25M
960 | Ozan Kabak | Türkiye | 28 cap | 32M
961 | Savinho | Brazil | 13 cap | 55M
962 | Piotr Trochowski | Germany | 35 cap | 10M
963 | Khéphren Thuram | France | 18 cap | 40M
964 | Maxwel Cornet | Cote d'Ivoire | 31 cap | 18M
965 | Badou Ndiaye | Senegal | 31 cap | 15M
966 | Mathías Olivera | Uruguay | 35 cap | 20M
967 | Robert Prosinecki | Croatia | 49 cap | 0M
968 | Shkodran Mustafi | Germany | 20 cap | 30M
969 | Benjamin Mendy | France | 12 cap | 45M
970 | Dodi Lukébakio | Belgium | 29 cap | 25M
971 | Josip Drmic | Switzerland | 35 cap | 12M
972 | Adama Traoré | Spain | 10 cap | 40M
973 | Manu Koné | France | 12 cap | 50M
974 | Alexander Djiku | Ghana | 38 cap | 10M
975 | Diego Carlos | Brazil | 6 cap | 50M
976 | Rey Manaj | Albania | 44 cap | 5M
977 | Zoran Mirkovic | Serbia | 51 cap | 1M
978 | David Jarolím | Czech Republic | 30 cap | 9M
979 | Moatasem Al-Musrati | Libya | 37 cap | 16M
980 | Riccardo Calafiori | Italy | 14 cap | 50M
981 | Mason Greenwood | England | 6 cap | 55M
982 | Marc-Vivien Foé | Cameroon | 50 cap | 0M
983 | Jérémie Boga | Cote d'Ivoire | 24 cap | 25M
984 | Rade Krunic | Bosnia-Herzegovina | 34 cap | 10M
985 | Daniel Sturridge | England | 26 cap | 25M
986 | Amine Harit | Morocco | 24 cap | 30M
987 | Folarin Balogun | United States | 25 cap | 30M
988 | Kurt Zouma | France | 13 cap | 35M
989 | Alfonso | Spain | 38 cap | 5M
990 | Destiny Udogie | Italy | 16 cap | 45M
991 | Antônio Carlos Zago | Brazil | 37 cap | 1M
992 | Matthew Amoah | Ghana | 41 cap | 3M
993 | Morgan Schneiderlin | France | 15 cap | 30M
994 | Emile Smith Rowe | England | 16 cap | 40M
995 | Eric García | Spain | 19 cap | 35M
996 | Fredi Bobic | Germany | 37 cap | 2M
997 | Stefan Effenberg | Germany | 35 cap | 0M
998 | Joseph-Désiré Job | Cameroon | 45 cap | 3M
999 | Nicola Berti | Italy | 38 cap | 0M
1000 | Lucas Tousart | France | 22 cap | 25M
1001 | Tayfun Korkut | Türkiye | 42 cap | 4M
1002 | Borja Mayoral | Spain | 31 cap | 15M
1003 | Ryan Sessegnon | England | 20 cap | 35M
1004 | Peter Etebo | Nigeria | 42 cap | 7M
1005 | Günter Netzer | Germany | 37 cap | 0M
1006 | Kléberson | Brazil | 32 cap | 10M
1007 | Matías Almeyda | Argentina | 40 cap | 6M
1008 | Andrey Santos | Brazil | 17 cap | 45M
1009 | Albert Ferrer | Spain | 36 cap | 0M
1010 | Amir Hadziahmetovic | Bosnia-Herzegovina | 35 cap | 8M
